class,total_predictions,total_errors,error_rate
nomal,6,4,0.6666666666666666
MITM,31,12,0.3870967741935484
DoS,11,2,0.18181818181818182
physical fault,22,2,0.09090909090909091
normal,230,7,0.030434782608695653
