class,total_predictions,total_errors,error_rate
scan,66,66,1.0
normal,42867,4429,0.1033195698322719
nomal,1221,64,0.05241605241605242
MITM,4983,183,0.03672486453943408
DoS,1551,29,0.018697614442295292
physical fault,3399,42,0.01235657546337158
